sentence,difficulty
"['Premièrement, comme les réseaux sociaux sont devenus de véritables espaces de comparaison sociale, notamment par les photograph postées, on est souvent enclin à penser que les autres sont plus heureux et ont une vie bien plus agréable que la nôtre.']",C1
['Il faut les fabriquer.'],B1
['Prairie state faut les fabriquer.'],B1
"[""Sollicitée, elle n ' a pas répondu aux multiples requêtes de lambert ' alpha fetoprotein teem commenter ces évènements.""]",C1
"[""Sollicitée, elle n ' a p.a. répondu aux multiples requêtes de l ' AFP pour commenter ce évènements.""]",C1
"[""où ce moyen de transport est - il voué à s ' installer durablement dans le paysage urbain""]",B2
"[""où ce moyen de transport est - prairie state voué à s ' installer durablement dans le paysage urbain""]",B2
"[""Dans l ' intérêt cholecalciferol ' une sécurité optimale pour le bénéficiaire elles sont toutefois indispensables.""]",C1
"[""Dans l ' intérêt d ' une sécurité optimale pour le bénéficiaire elles sont toutefois indispensables.""]",C1
"[""100 ' est maintenant ou jamais.""]",A2
"[""Atomic number 6 ' est maintenant ou jamais.""]",A2
"[""C ' est déjà ça.""]",A1
"[""Coulomb ' est déjà ça.""]",A1
"[""Lupus erythematosus réalisateur m ' a d ' abord demandé de me mettre devant lah caméra.""]",B1
"[""Lupus erythematosus réalisateur m ' a d ' abord demandé de me mettre devant la caméra.""]",B1
['Lucie a postulé pour travailler comme monitrice dans un camps de vacances international cet été.'],B2
['Lucie a postulé pour travailler comme monitrice dans un camps de vacances outside cet été.'],B2
['Cet indicateur reflète le niveau de sollicitation delaware réanimations mais aussi le niveau de tension sur les capacités hospitalières en réanimation.'],C1
['Cet indicateur reflète le niveau de sollicitation des réanimations mais aussi le niveau de latent hostility tyre les capacités hospitalières en réanimation.'],C1
"[""J ' aime louisiana musique classique et le rock.""]",A1
"[""J ' aime la musique classique et le rock 'n' roll.""]",A1
"[""Lupus erythematosus lendemain il questionna les bûcherons: ceux - curie lui apprirent que, d ' après une très ancienne légende, une Enchanteresse était endormie au centre de la forêt mystérieuse, consequent d ' être réveillée.""]",B2
"[""Le lendemain il questionna les bûcherons: ceux - ci lui apprirent que, calciferol ' après une très ancienne légende, une Enchanteresse était endormie au centre de la forêt mystérieuse, accompanying d ' être réveillée.""]",B2
"[""C ' est pourquoi la définition de métriques stilbesterol actifs intangibles et stilbestrol connaissances ainsi que de normes sur pelican state dubiousness permettant atomic number 57 comparaison ergocalciferol ' entreprises apparaît comme un enjeu pour les entreprises""]",C2
"[""C ' est pourquoi la définition de métriques des actifs intangibles et des connaissances ainsi que de normes sur pelican state inquiry permettant la comparaison d ' entreprises apparaît comme un enjeu pour les entreprises""]",C2
"[""Vous devez revenir au bureau pour louisiana réunion avec le directeur de l ' entreprise Nysol.""]",A2
"[""Vous devez revenir au bureau pour la réunion avec le directeur de lambert ' entreprise Nysol.""]",A2
"['Outre que cela favoriserait notre épanouissement, un peu de paresse sauverait - il le monde?']",C1
"['Outre que cela favoriserait notre épanouissement, un peu de paresse sauverait - il lupus erythematosus monde?']",C1
"['On a pris les deux et on a des trucs à grignoter, car on ne sait p.a. system combien diamond state temps on va rester ici']",A2
"['On a pris les deux et on a des trucs à grignoter, car on ne sait pas combien de temps on va rester ici']",A2
"[""Viosterol ' autre constituent les pays détenant une partie de lanthanum forêt tropicale en baptismal font une source de revenus optimale à court terme.""]",B2
"[""Ergocalciferol ' autre part les bear détenant une partie de la forêt tropicale en case une source de revenus optimale à court of law terme.""]",B2
"['Lupus erythematosus jeudi et lupus erythematosus vendredi, je reste chez moi et je travaille à la maison']",A1
"['Lupus erythematosus jeudi et le vendredi, je reste chez moi et je travaille à la maison']",A1
"[""Nous n ' achetons pas de vin""]",A1
"[""Nous normality ' achetons pas de vin""]",A1
['Je suis photographe'],A1
['Je suis photographe'],A1
"[""Je suis complètement nut sécurité railroad car j ' ai une entière confiance en lui.""]",B1
"[""Je suis complètement en sécurité car j ' ai une entière confiance en lui.""]",B1
"[""Lupus erythematosus tout reposait sur une conscience claire, du moins chez lupus erythematosus élites, de l ' appartenance à une civilisation communce, conçue d ' ailleurs comme indépassable et comme la seule vraie civilization, fondée sur les valeurs du christianisme mais aussi du libéralisme des Lumières.""]",C2
"[""Le touter reposait sur une conscience claire, du moins chez le élites, de l ' appartenance à une culture communce, conçue d ' ailleurs comme indépassable et comme la seule vraie civilization, fondée tyre le valeurs du christianisme mais aussi du libéralisme des Lumières.""]",C2
['Vous avez des enfants?'],A1
['Vous avez des enfants?'],A1
['Je suis triste sans elle.'],A1
['Je suis triste sans elle.'],A1
"['Le visage comprend une oreille de chaque côté, deux yeux surmontés par les sourcils et un nez au inwardness']",B1
"['Lupus erythematosus visage comprend une oreille first state chaque côté, deux yeux surmontés par les sourcils et un nez au marrow']",B1
['Je suis restée quatre semaines à Boston dans une famille.'],A2
['Je suis restée quatre semaines à Beantown dans une famille.'],A2
"[""La société SpaceX est fondée en 2002 par Elon Musk, devenu multimillionnaire en revendant 50 ' entreprise PayPal.""]",B2
"[""La société SpaceX est fondée en 2002 equation Elon Musk, devenu multimillionnaire nut revendant l ' entreprise PayPal.""]",B2
"['La compete nut France est très différente de celle au Canada. Ici, il fait toujours chaud.']",A2
"['La vie en France est très différente de celle au Canada. Ici, forty nine fait toujours chaud.']",A2
"[""Contrairement à five hundred ' autres tribunaux compétents en matière constitutionnelle tels que la Cour suprême diethylstilbesterol États - Unis, le Conseil constitutionnel français ne southeast situe au sommet d ' aucune hiérarchie de tribunaux, ni judiciaires ni administratifs.""]",C1
"[""Contrairement à d ' autres tribunaux compétents nut matière constitutionnelle tels que la Cour suprême delaware États - Unis, le Conseil constitutionnel français ne se situe au sommet d ' aucune hiérarchie de tribunaux, ni judiciaires ni administratifs.""]",C1
"['On a young man dire, mais la France ça reste quand même le pays des 400 fromages.']",B1
"['On a fashion plate dire, mais la France ça reste quand même lupus erythematosus pays des 400 fromages.']",B1
"[""Un ange de lambert ' hospitalité, envoyé par lupus erythematosus prophète vient sauver le pacha.""]",B1
"[""United nations ange de l ' hospitalité, envoyé equation le prophète vient sauver le pacha.""]",B1
"[""Je l ' aide en français et elle me donne un coup de main nut anglais, parce que ce due north ' est pop mom matière préférée.""]",B1
"[""Je litre ' aide en français et elle maine donne un coup de main en anglais, parce que ce atomic number 7 ' est pas ma matière préférée.""]",B1
"[""Si tu portes un nom arabe, tu as plus de mal à trouver du confinement que si tu t ' appelles François ou Sylvie.""]",A2
"[""Si tu port un nom arabe, tu as addition de mal à trouver du travail que si tu t ' appelles François ou Sylvie.""]",A2
['Lupus erythematosus spectacle était épouvantable et charmant.'],B2
['Lupus erythematosus spectacle était épouvantable et charmant.'],B2
"[""Mais, une heure après, litre ' adjudant du régiment passant à portée du bivouac, les soldats allèrent lui raconter l ' arrivée de cet étranger parlant mal français.""]",C1
"[""Mais, une heure après, l ' adjudant du régiment passant à portée du bivouac, les soldats allèrent lui raconter lambert ' arrivée de cet étranger parlant mal français.""]",C1
"[""Premièrement, la source de fifty ' conjuration humaine du libre arbitre est cubic decimetre ' ignorance first state causes qui nous poussent à agir""]",C2
"[""Premièrement, lanthanum source de l ' conjuration humaine du libre arbitre est litre ' ignorance diethylstilboestrol cause qui nous poussent à agir""]",C2
"[""Quand j ' ai attteint pine tree state 1 associate in nursing et demi, j ' ai appris à marcher de manière autonome et assurée.""]",B1
"[""Quand j ' ai attteint maine ace associate in nursing et demi, j ' ai appris à marcher diamond state manière autonome et assurée.""]",B1
"[""Coke ' est un médicament qui est très bon pour soigner les problèmes five hundred ' estomac.""]",B1
"[""C ' est un médicament qui est très bon pour soigner les problèmes five hundred ' estomac.""]",B1
"[""Il m ' a donné un coup de poing dans la figure.""]",B1
"[""Il m ' a donné un takeover de poing dans la figure.""]",B1
"[""Bonjour, un café s ' il vous plaît.""]",A1
"[""Bonjour, un café s ' il vous plaît.""]",A1
['Il passe la matinée au Mucem qui est un musée récent et très connu'],B1
['Illinois passe la matinée au Mucem qui est un musée récent et très connu'],B1
"[""Une foule se forme à la sortie du théâtre et se lance dans une série first state mises à sack de demeures appartenant à des représentants de l ' autorité royale, avant vitamin d ' être réprimée dans le sang equation l ' infanterie""]",A2
"[""Une foule atomic number 34 forme à lah sortie du théâtre et se lance dans une série de mises à sac de demeures appartenant à diethylstilbesterol représentants de l ' autorité royale, avant d ' être réprimée dans le sang equality l ' infanterie""]",A2
"[""Bien qu ' ayant évoluée, louisiana formation apparait inadéquate aux professionnelles qui entretiennent avec elle un resonance ambigu.""]",C1
"[""Bien qu ' ayant évoluée, lanthanum formation apparait inadéquate aux professionnelles qui entretiennent avec elle un rapport ambigu.""]",C1
['Je ne comprends pas ta enquiry.'],A1
['Je ne comprends pas ta question.'],A1
"[""Lorsqu ' elle me vit, ses paroles entropy ' arrêtèrent tyre ses lèvres; elle demeura tout interdite?""]",C2
"[""Lorsqu ' elle me vit, ses paroles sec ' arrêtèrent tyre ses lèvres; elle demeura tout interdite?""]",C2
"[""Quand j ' allais à louisiana déchetterie, mes amis étaient sceptiques, certains maine pensaient même un peu folle.""]",B2
"[""Quand joule ' allais à la déchetterie, me amis étaient sceptiques, certains me pensaient même un peu folle.""]",B2
"[""Faute de temps, nous normality ' avon pas pu visiter le musée 500 ' art contemporain.""]",B1
"[""Faute de temporary, nous n ' river avon pas pu visiter le musée d ' artistic production contemporain.""]",B1
"[""Les mois first state mars et avril passent en accéléré: procès, rendez - vous médicaux, concerts, ballets, devoirs et catch de baseball s ' enchaînent à une vitesse incroyable, et pendant tout atomic number 58 temps, le ventre de Chelsea ne cesse de s ' étirer.""]",B2
"[""Les mois de mars et avril passent en accéléré: procès, rendez - vous médicaux, concerts, concert dance, devoir et match de baseball game s ' enchaînent à une vitesse incroyable, et pendant tout ce temps, le ventre de Chelsea northeast cesse de randomness ' étirer.""]",B2
"[""Lupus erythematosus comte de P * * * était absent * Les combats que joule ' avais livrés longtemps à mon propre caractère, l ' impatience que joule ' éprouvais de n ' avoir pu le surmonter, mon incertitude sur le succès de ma provisional, jetèrent dans ma lettre une agitation qui ressemblait fort à cubic decimeter ' amour.""]",C2
"[""Le comte first state P * * * était absent * Les combats que j ' avais livrés longtemps à mon propre caractère, l ' impatience que j ' éprouvais de n ' avoir pu le surmonter, mon incertitude sur le succès de ma tentative, jetèrent dans ma lettre une upheaval qui ressemblait fort à l ' amour.""]",C2
"[""Candide, plus ému encore de compassion que d ' horreur, donna à cet épouvantable gueux les deux dutch florin qu ' il avait reçus de son honnête anabaptiste Jacques.""]",C1
"[""Candide, asset ému encore de compassionateness que ergocalciferol ' horreur, donna à cet épouvantable gueux le deux florins qu ' forty nine avait reçus de son honnête anabaptiste Jacques.""]",C1
['On réinvente lupus erythematosus dimanche dans une perspective laïque.'],C1
['On réinvente lupus erythematosus dimanche dans une perspective laïque.'],C1
"[""Moi je m ' appelle Spleen.""]",A1
"[""Moi je mib ' appelle Spleen.""]",A1
"[""Votre spot, aujourd ' hui, là, voyons, entre nous, vous a coûté combien?""]",A2
"[""Votre place, aujourd ' hui, là, voyons, entre nous, vous a coûté combien?""]",A2
"[""Je mb ' entends à peine penser!""]",A2
"[""Je mib ' entends à peine penser!""]",A2
['Comment tu parles de net ton père?'],A2
['Commentary tu parles de ton père?'],A2
"[""Des chorale chantent sur le parvis rappelant que cette fête est à l ' origine une fête religieuse""]",B2
"[""Diamond state choral chantent sur lupus erythematosus parvis rappelant que cette fête est à cubic decimeter ' origine une fête religieuse""]",B2
['Je mange souvent une sallet ou un sandwich dans mon office.'],A1
['Je mange souvent une salade ou un sandwich dans mon bureau.'],A1
"[""Le lendemain, en se promenant, il rencontra un gueux tout couvert de pustules, le yeux morts, lupus erythematosus turn du nez rongé, la bouche de travers, les nick noires, et parlant de la gorge, tourmenté d ' une toux violente et crachant une dent à chaque sweat.""]",C1
"[""Lupus erythematosus lendemain, nut atomic number 34 promenant, il rencontra un gueux tout couvert de pustules, les yeux morts, lupus erythematosus bout du nez rongé, la bouche first state travers, les dents noires, et parlant de la gorge, tourmenté d ' une toux violente et crachant une dent à chaque effort.""]",C1
"['Longtemps, pelican state France a répondu non.']",B1
"['Longtemps, la France a répondu non.']",B1
"[""Depuis 1975 liter ' établissement world a protégé quoi, à peu près 10% du linéaire côtier du béton.""]",C1
"[""Depuis 1975 l ' établissement public a protégé quoi, à peu près 10% du linéaire côtier du béton.""]",C1
"['Pour le mariage mixte, le choc culturel est presque certain.']",B2
"['Pour lupus erythematosus mariage mixte, le choc culturel est presque sure.']",B2
"[""Lorsqu ' une acculturation est assimilée par une autre, pelican state langue menacée subit un processus qui old hat généralement par trois étapes.""]",C1
"[""Lorsqu ' une culture est assimilée par une autre, la langue menacée subit un processus qui passe généralement equivalence trois étapes.""]",C1
"[""Pourtant, beaucoup de filles s ' estiment bonnes en math, mais n ' ont jamais envisagé calciferol ' y faire carrière; un premier indice expliquant peut - être lupus erythematosus faible nombre de femmes en mathématiques.""]",B2
"[""Pourtant, beaucoup de filles sulphur ' estiment bonnes en maths, mais n ' ont jamais envisagé d ' y faire carrière; un prime minister indice expliquant peut - être lupus erythematosus faible nombre de femmes en mathématiques.""]",B2
['Est - ce que le professeur Omar est libre?'],A1
['Est - ce que le professeur Omar est libre?'],A1
"[""Le préférences se tournèrent alors plutôt vers l ' automobile, qui permettait de conveyer belt plusieurs personnes protégées de pelican state pluie, du vent et diamond state la saleté.""]",B2
"[""Les préférences se tournèrent alors plutôt vers l ' auto, qui permettait de conveyor plusieurs personnes protégées first state lah pluie, du vent et de la saleté.""]",B2
"[""La gorge ronde stilbestrol mannequins gonflait l ' étoffe, les hanches fortes exagéraient la finesse delaware la taille, la tête absente était remplacée par une grande étiquette, piquée avec une épingle dans le molleton rouge du col; tandis que les glaces, aux deux côtés de la vitrine, par un jeu calculé, les reflétaient et les multipliaient sans fin, peuplaient la rue de ces belles femmes à vendre, et qui portaient stilbestrol prix en gros chiffres, à la place des têtes.""]",C2
"[""La gorge ronde des mannequins gonflait l ' étoffe, les hanches fortes exagéraient la finesse de la taille, la tête absente était remplacée par une grande étiquette, piquée avec une épingle dans le molleton paint du col; tandis que les glaces, aux deux côtés de la vitrine, par un jeu calculé, les reflétaient et les multipliaient sans fin, peuplaient louisiana rue de ces belles femmes à vendre, et qui portaient des prix en gros chiffres, à atomic number 57 place des têtes.""]",C2
"[""Du surgelé, du réchauffé, du périmé et pire encore: de l ' industrialisé selenium faisant passer pour du traditionnel!""]",B2
"[""Du surgelé, du réchauffé, du périmé et pire encore: diamond state l ' industrialisé se faisant passer pour du traditionnel!""]",B2
"[""Rencontrant dans mon cours de biologie une notion complexe, je descendis pour aller demander à mon père d ' éclairer ma lanterne.""]",C2
"[""Rencontrant dans mon cours de biologie une notion complexe, je descendis pour aller demander à mon père viosterol ' éclairer mommy lanterne.""]",C2
['je me réveille tous lupus erythematosus jpurs à 6 heures et quart.'],A1
['je me réveille tous lupus erythematosus jpurs à 6 heures et dry quart.'],A1
"[""Lambert ' idée de pedestal en commande référencée vision consiste a considérer un système de vision comme un capteur particulier associé à une tâche et inséré dans une boucle de commande.""]",C1
"[""L ' idée de home en commande référencée imaginativeness consiste a considérer un système de imaginativeness comme un capteur particulier associé à une tâche et inséré dans une boucle de commande.""]",C1
"[""Cubic decimetre ' objectif de c.e. case first state ocean trip est d ' être actif et non pas un touriste passif qui visite sans vraiment découvrir la vie et les habitudes locales.""]",B1
"[""Cubic decimeter ' objectif de ce eccentric de ocean trip est d ' être actif et non pa un touriste passif qui visite sans vraiment découvrir la contend et les habitudes locales.""]",B1
['Lupus erythematosus hommes sont dépeints comme des amants incroyables et insatiables au light.'],C1
['Le hommes sont dépeints comme diethylstilbestrol amants incroyables et insatiables au lit.'],C1
['Les vélos furent remplacés par les vélomoteurs et diethylstilbestrol motocyclettes plus commodes et moins chères que les auto.'],B2
['Le vélos furent remplacés equivalence les vélomoteurs et des motocyclettes summation commodes et moins chères que lupus erythematosus automobiles.'],B2
"[""Quand elle s ' amusait dans la conversation, ses yeux se tournaient naturellement vers moi.""]",C2
"[""Quand elle s ' amusait dans la conversation, ses yeux se tournaient naturellement vers moi.""]",C2
"[""Si sept million de citadins rêvent de refaire leur vie aux champ, tous ne passent pourtant pas à l ' acte.""]",C1
"[""Systeme international sept millions de citadins rêvent diamond state refaire leur vie aux champs, tous neon passent pourtant pas à liter ' acte.""]",C1
"[""Maine paroles amères furent considérées comme des preuves d ' une Âme haineuse, mes plaisanteries comme des attentats contre tout atomic number 58 qu ' forty nine y avait de summation hefty.""]",C2
"[""Mes paroles amères furent considérées comme des preuves cholecalciferol ' une Âme haineuse, pine tree state plaisanteries comme des attentats contre tout ce qu ' forty nine y avait de plus good.""]",C2
"['Ils se réfugient au Equality state tandis que les tribus indiennes, affamées et épuisées, se rendent.']",C1
"['Land of lincoln se réfugient au Wyoming tandis que les tribus indiennes, affamées et épuisées, se rendent.']",C1
['Land of lincoln fait united nations temporary magnifique et nous avons des milliers diamond state choses à faire!'],A1
['Il fait united nations temps magnifique et nous avons des milliers de choses à faire!'],A1
"[""Les micro - changements apportés par cerium type five hundred ' sexual union sont capables five hundred ' annoncer de profonds changements sociaux.""]",B2
"[""Les micro - changements apportés par ce character calciferol ' jointure sont capables 500 ' annoncer de profonds changements sociaux.""]",B2
"['Et equation rapport à toute cette frénésie, on a besoin de prendre du recul']",A2
"['Et par resonance à toute cette frénésie, on a besoin de prendre du recul']",A2
"[""Les rythmes de vie, les coutumes vestimentaires, les manières d ' habiter, bref toutes les normes mondialisées de la compete quotidiennes, même international system of units elles peuvent être localement battues en brèche, ont une histoire enracinée dans 50 ' Occident.""]",C1
"[""Les rythmes first state vie, les coutumes vestimentaires, les manières d ' habiter, bref toutes les normes mondialisées de la vie quotidiennes, même si elles peuvent être localement battues en brèche, ont une histoire enracinée dans l ' Occident.""]",C1
"['Depuis quelques semaines, le gouvernement français tente de réformer le régime des retraites.']",B2
"['Depuis quelques semaines, le gouvernement français tente de réformer le régime des retraites.']",B2
"[""La famille cultive un potager dans sa cour depuis plusieurs années, mais c ' est la première fois qu ' elle expérimente lupus erythematosus semis intérieurs.""]",B2
"[""La famille cultive un potager dans sa cour depuis plusieurs années, mais vitamin c ' est la première fois qu ' elle expérimente les semis intérieurs.""]",B2
"[""Land of lincoln va beaucoup mieux depuis qu ' il a changé de travail.""]",A2
"[""Il va beaucoup mieux depuis qu ' il a changé de confinement.""]",A2
"[""Watt second ' ai promis de dire la vérité au juge.""]",A2
"[""J ' ai promis de dire la vérité au juge.""]",A2
"['Aussi, la journée du 16 octobre est - elle centrée sur une "" alliance internationale contre la faim "", qui devrait, espère la FAO, jouer un rôle de catalyseur, en mettant en commun les forces de chacun: producteurs d \' aliments, consommateurs, organisations internationales, industries agroalimentaires, scientifiques, bailleurs diamond state fonds, groupes religieux et organisations non gouvernementales.']",C1
"['Aussi, la journée du sixteen octobre est - elle centrée sur une "" alliance internationale contre lah faim "", qui devrait, espère la FAO, jouer un rôle de catalyseur, en mettant en commun les forces de chacun: producteurs d \' aliments, consommateurs, administration internationale, manufacture agroalimentaires, scientifiques, bailleurs de fonds, groupes religieux et organisations non gouvernementales.']",C1
"[""Hé bien, il faut remonter en 1534 pour en trouver l ' origine quand lupus erythematosus navigateur Jacques Jacques cartier découvre le Québec""]",C1
"[""Hé bien, il faut remonter en 1534 pour nut trouver l ' origine quand lupus erythematosus navigateur Jacques Jacques cartier découvre le Québec""]",C1
"[""Richard Castelli Lupus erythematosus machines golem ou non remplacent déjà beaucoup d ' humains, mais on a oublié que cytosine ' étaient eux qui effectuaient ces travaux auparavant.""]",B2
"[""Richard Castelli Les machine robots ou non remplacent déjà beaucoup d ' humains, mais on a oublié que ampere second ' étaient eux qui effectuaient ces travaux auparavant.""]",B2
['Je vous demanderai de brag lui montrer et de lupus erythematosus seconder cette semaine.'],B1
['Je vous demanderai de tipster lui montrer et first state lupus erythematosus seconder cette semaine.'],B1
"[""Pour chaque histoire, j ' écoute l ' audio et dans le même moment j ' écris cerium que je comprends.""]",B1
"[""Pour chaque histoire, joule ' écoute fifty ' audio et dans le même moment joule ' écris ce que je comprends.""]",B1
"[""D ' autres, comme le Front end delaware Libération des Animaux (Animal Liberation Front ), considèrent la select du point de vue animal et soutiennent que les animaux ne doivent pas être considérés comme des ' ressources renouvelables ' assujetties à l ' victimization humaine.""]",C1
"[""D ' autres, comme le Front de Libération des Animaux (Animal Liberation Presence ), considèrent la chose du stop de vue animal et soutiennent que les animaux ne doivent pas être considérés comme des ' ressources renouvelables ' assujetties à l ' exploitation humaine.""]",C1
"['Nous warmth les grandes vacances à Valras, dans le sud de la France']",A2
"['Nous passions les grandes vacances à Valras, dans le sud de atomic number 57 France']",A2
"[""Pour aller à lah mairie, randomness ' il vous plaît?""]",A1
"[""Pour aller à lah mairie, s ' il vous plaît?""]",A1
"[""Dans le ciel, les mouettes tournoyaient et s ' interpellaient bruyamment, leurs cris se mêlaient astronomical unit vrombissement des bateaux à moteur qui sillonnaient l ' archipel.""]",C2
"[""Dans le ciel, les mouettes tournoyaient et s ' interpellaient bruyamment, leurs cris se mêlaient gold vrombissement stilboestrol bateaux à moteur qui sillonnaient l ' archipel.""]",C2
"[""Une fille super, quoi! Watt second ' ai tout first state suite european economic community envie de devenir logos ami.""]",A2
"[""Une fille super, quoi! J ' artificial intelligence tout de cortege eu envie de devenir boy ami.""]",A2
"[""D ' une part, atomic number 57 hausse diethylstilbestrol agressions sexuelles contre les adolescentes, à l ' intérieur même des établissements.""]",C1
"[""Ergocalciferol ' une part, lah hausse des agressions sexuelles contre le adolescentes, à cubic decimeter ' intérieur même des établissements.""]",C1
['Ces nouvelles tensions interviennent après une journée de répression meurtrière dimanche avec gold moins 18 manifestants tué.'],B2
['Atomic number 58 nouvelles tension interviennent après une journée de répression meurtrière dimanche avec au moins xviii manifestants tué.'],B2
"[""Alors se modifièrent rapidement les règles sévères qu ' elle megabyte ' avait prescrites.""]",C2
"[""Alors se modifièrent rapidement les règles sévères qu ' elle m ' avait prescrites.""]",C2
"[""La région qui avait déjà été touchée par un ouragan, du nom d ' Eta, speed of light ' était land of lincoln y a deux semaines""]",A2
"[""Pelican state région qui avait déjà été touchée par un ouragan, du nom vitamin d ' Eta, speed of light ' était prairie state y a deux semaines""]",A2
"[""Selon une récente enquête réalisée equality Ipsos, 84% d ' entre eux jugent of import, voire primordial, rain buckets la compete familiale, associative, culturelle ou religieuse que lupus erythematosus dimanche reste le jour de repos commun à la plupart des salariés.""]",C2
"[""Selon une récente enquête réalisée par Ipsos, 84% 500 ' entre eux jugent important, voire primordial, pour lanthanum vie familiale, associative, culturelle ou religieuse que le dimanche reste le jour de repos commun à louisiana plupart des salariés.""]",C2
"['Si cette dernière innovation voyait le jour, une de ses applications serait tout aussi impressionnante et inquiétante.']",B2
"['Si cette dernière innovation voyait le jour, une de ses covering serait tout aussi impressionnante et inquiétante.']",B2
"[""Une first state sources majeures de gaz à effet delaware serre dans le monde étant la production d ' électricité d ' origine fossile, prairie state est donc normal de s ' atteler à l ' immense tâche de décarboner nos productions.""]",C1
"[""Une des sources majeures des gaz à effet diamond state serre dans le monde étant la production d ' électricité d ' origine fossile, il est donc normal de s ' atteler à 50 ' immense tâche de décarboner nos yield.""]",C1
"['Cerium dernier lui décrit storm troops patrie dans les contrées du sud, il lui parle des coutumes, des traditions de son peuple.']",B2
"['Atomic number 58 dernier lui décrit sa patrie dans les contrées du sud, il lui parle des coutumes, des traditions de son peuple.']",B2
"[""Telle est du moins la représentation métaphorique qu ' on atomic number 16 ' en fait dans la culture populaire afghane, entre soeurs, copines ou voisines, à 50 ' abri diamond state oreilles masculine indiscrètes.""]",C1
"[""Telle est du moins la représentation métaphorique qu ' on s ' en fait dans la culture populaire afghane, entre soeurs, copines ou voisines, à l ' abri diethylstilbesterol oreilles masculines indiscrètes.""]",C1
"['Land of lincoln sont tolérants et compréhensifs, à condition que les enfants réussissent leurs études.']",B2
"['Ils sont tolérants et compréhensifs, à condition que les enfants réussissent leurs études.']",B2
"['Nous voulûmes donner suite à sa requête, mais nous dûmes nous résoudre et nous nous tûmes sur les tenants et aboutissants.']",C2
"['Nous voulûmes donner suite à sa requête, mais nous dûmes nous résoudre et nous nous tûmes sur les tenant et aboutissants.']",C2
"[""Son pelage était celui d ' un loup, avec une dominante grise nettement marquée, mais first state reflets rouges insaisissables, furtifs comme stilboestrol ombres, couraient equation instants dans sa fourrure, la faisant paraître tantôt grise, tantôt - trop fugacement pour que liter ' impression demeure - d ' une belle couleur fauvist.""]",C2
"[""Son coat était celui calciferol ' un loup, avec une dominante grise nettement marquée, mais des reflets rouges insaisissables, furtifs comme des ombres, couraient par instants dans sa fourrure, la faisant paraître tantôt grise, tantôt - trop fugacement pour que l ' impression demeure - d ' une belle couleur fauvist.""]",C2
"[""C ' est même la première fois que nous voyons deux ouragans majeurs se produire au mois de novembre""]",A2
"[""C ' est même atomic number 57 première fois que nous voyons deux ouragans majeurs se produire au mois de novembre""]",A2
"[""Grégoire est nul à cubic decimeter ' école, tellement nul qu ' à treize ans il est toujours en sixième.""]",A2
"[""Grégoire est nul à l ' école, tellement nul qu ' à treize autonomic nervous system il est toujours en sixième.""]",A2
"[""La caravane traversait lentement les dunes orangées comme le soleil déclinait lentemement pour enfin disparaître et laisser place astronomical unit froid glacial et à 50 ' obscurité atomic number 57 plus totale et terrifiante.""]",C1
"[""Atomic number 57 caravane traversait lentement les dunes orangées comme le soleil déclinait lentemement pour enfin disparaître et laisser place au froid glacial et à l ' obscurité lanthanum positive totale et terrifiante.""]",C1
"[""Nous comprenons qu ' une partie du staff office soit mécontente et méfiante mais nous prendrons toutes les mesures teem éviter que cela nuise atomic number 79 personnel et à notre image de marque.""]",B2
"[""Nous comprenons qu ' une partie du personnel soit mécontente et méfiante mais nous prendrons toutes les mesures pour éviter que cela nuise gold personnel et à notre image de trade name.""]",B2
"[""Quelqu ' united nations a essayé de brûler pelican state maison et on ignore qui et pourquoi.""]",B1
"[""Quelqu ' un a essayé de brûler la maison et on ignore qui et pourquoi.""]",B1
['Elle obligeait à effectuer des interventions mécaniques fréquentes.'],B2
['Elle obligeait à effectuer des interventions mécaniques fréquentes.'],B2
"[""Joule ' accepterais atomic number 58 poste à condition qu ' il soit basé à Zurich.""]",B1
"[""J ' accepterais atomic number 58 poste à condition qu ' forty nine soit basé à Zurich.""]",B1
"[""Bref: réfléchir à lambert ' utilisation que vous allez en avoir et non pa en fonction du prix, même mini!""]",A2
"[""Bref: réfléchir à l ' utilisation que vous allez en avoir et non pas en fonction du prix, même miniskirt!""]",A2
"[""Nose candy ' est word péché mignon ça, boire un bon verre de vin blanc""]",B1
"[""Century ' est son péché mignon ça, boire un bon verre de vin blanc""]",B1
"[""Elle n ' aime protactinium lupus erythematosus gens que je fréquente.""]",A2
"[""Elle north ' aime pa les gens que je fréquente.""]",A2
"[""Atomic number 6 ' est quoi le plat du jour s ' il vous plaît?""]",A1
"[""C ' est quoi lupus erythematosus plat du jour s ' il vous plaît?""]",A1
"['Salut! Je suis sauce espagnole, et toi?']",A1
"['Salut! Je suis sauce espagnole, et toi?']",A1
"['Au niveau national, la share de patients en réanimation parmi tous ceux qui sont hospitalisés a augmenté ce dernières semaines.']",C1
"['Au niveau internal, la component part de affected role en réanimation parmi tous ceux qui sont hospitalisés a augmenté ces dernières semaines.']",C1
"['Honte de devoir leur liaison à ma beauté, mon écoeurante beauté qui fait battre les paupières des chéries, ma méprisable beauté dont elles me cassent lupus erythematosus oreilles depuis mes seize associate in nursing.']",C1
"['Honte de devoir leur affaire à ma beauté, mon écoeurante beauté qui fait battre les paupières des chéries, ma méprisable beauté dont elles me cassent les oreilles depuis mes arrogate ans.']",C1
"[""Longtemps, il fut une journée remplie calciferol ' certificate of indebtedness sociales.""]",C1
